,total_return,cagr,ann_vol,neg_ann_vol,sharpe,sortino,max_dd
final_portfolio,37.989857751705706,0.16774367850021266,0.2233497037752016,0.16456548067087293,0.8071233432586067,1.0954348317275446,-0.30158372226036645
ES=F_benchmark_buy_hold,6.0099706434360884,0.08592671592970902,0.189525928041005,0.13484615314026027,0.5298942752574151,0.7447650670265424,-0.5711340206185569
ES=F_only_option_b,22.498607409187986,0.14297940076107452,0.2342170035573023,0.17237202745964234,0.6887996126398843,0.9359324926529409,-0.4243129091390869
ES=F_actual_contribution,6.679088406144716,0.09012568530995413,0.14914939524211265,0.11031424058918624,0.6536988028954654,0.8838276962395114,-0.2536854913522475
alts_actual_contribution,5.092562827383543,0.079497990988598,0.11135074401144704,0.08360958762547632,0.7433446380564777,0.989981901062355,-0.21565880621131261
