metric,value
R-squared,0.492611609443402
Alpha (ann.),0.0641652054624476
Alpha t-stat,1.9420945664159257
Beta: Market (ES),0.7893756578910379
Beta: Duration (ZN),0.0970485577043407
Beta: Momentum (UMD),0.1217874444899095
Beta: Gold (GC),0.277465185299722
T-stat: Market (ES),69.56581099664801
T-stat: Duration (ZN),2.6813428482710058
T-stat: Momentum (UMD),1.9575849376382142
T-stat: Gold (GC),23.54918623554353
