Regime,Days,Pct of sample,CAGR,Ann. vol,Sharpe,Max drawdown,Win rate,Avg ES weight
Equity Bull,837,14.06013774567445,0.8221430665488445,0.2514516164065626,3.269587518656283,-0.21835088238483202,0.5890083632019116,0.5606933977380487
Equity Bear,657,11.036452208970267,-0.3906636582323084,0.19259342759408954,-2.0284371232837306,-0.22493725687773125,0.4687975646879756,0.6000735699006402
Inflation,575,9.658995464471696,0.07474111772157177,0.22059245478353776,0.3388199192710988,-0.2879090053292568,0.5321739130434783,0.6839127591725562
Neutral,3884,65.24441458088359,0.19901972864761275,0.22121266176274443,0.8996760269584654,-0.2451840041069092,0.5690010298661174,0.6182338906424824
