asset,total_contribution_sum_ret,total_return,cagr,ann_vol,sortino,max_dd
ES=F,2.286935254053015,6.679088406144716,0.09012568530995413,0.14914939524211265,0.8838276962395111,-0.2536854913522474
NQ=F,1.2178922854511876,2.148630239247639,0.04975097266127615,0.07732250649581544,0.9147374575842665,-0.1263120875936683
GC=F,0.373754219996277,0.43536356575517243,0.015417043738212177,0.03220690547665015,0.6460122188958517,-0.06652533491735102
SI=F,0.362141354206419,0.3883221054595898,0.013985721357539838,0.053129271773683415,0.3625118200050166,-0.17484101555249165
ZN=F,0.03675699635219191,0.03618668067993247,0.0015059076402770266,0.01011378413468808,0.21150478123037159,-0.043055966426846726
RTY=F,-0.03522109395313783,-0.03751335677175749,-0.001617243294652182,0.0159697339369825,-0.1275775001541869,-0.06512737787134282
