asset,actual_lots,actual_notional,floating_pnl,n_positions,effective_weight_notional
ES,2.0,679412.5,12650.0,2.0,0.7033743541218698
NQ,0.0,0.0,0.0,0.0,0.0
RTY,1.0,131305.0,4050.0,1.0,0.13593592930358525
ZN,0.0,0.0,0.0,0.0,0.0
GC,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.0
