,value
login,******6156
server,Darwinex-Live
balance,949233.0
equity,968258.0
margin,53300.0
free_margin,914958.0
margin_level,1816.6191369606004
leverage,200
currency,USD
timestamp,2026-04-08 17:25:45.927420
